created_at,favorite_count,favorited,filter_level,lang,retweet_count,retweeted,source,text,rawtext,user_created_at,user_followers_count,user_location,user_lang,user_name,user_screen_name,user_time_zone,user_utc_offset,user_friends_count,geolocation,recordRetrieved,id_str,URL,dbSource,lat,lng
Mon Feb 11 05:49:06 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Yeehaw Welcome home Elder Coulson Harris Salt Lake City International Airport SLC,Yee-haw!!! Welcome home Elder Coulson Harris #Texas #sanantonio #returnwithhonor @ Salt Lake City International Airport (SLC) https://t.co/UW0adG331S,Fri Dec 30 21:41:59 +0000 2011,40,Utah,en,Tyler,digitalfilm2000,None,None,75,40.78711418 -111.98465315,49:12.0,1.09484E+18,https://twitter.com/statuses/1094835700699222016,location2.db,40.78711418,-111.9846532
Mon Feb 11 04:06:12 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Thanking my Kenyan friends for keeping me warm in Seattle Seattle Washington,Thanking my Kenyan friends for keeping me warm in Seattle! @OngwenMartin @ Seattle Washington https://t.co/Z0opfjxdwT,Thu Feb 09 15:49:39 +0000 2012,1348,None,en,Rob Landel,rlandeldpt,None,None,122,47.6046 -122.3308,06:17.0,1.09481E+18,https://twitter.com/statuses/1094809801878470656,location2.db,47.6046,-122.3308
Mon Feb 11 04:06:16 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,I ll be o your radio tonight 10Midnight Turn the dial to Donut Bar Las Vegas,I'll be o your radio tonight 10-Midnight. Turn the dial to @hot975vegas #billiondollarbeard #zeshbian @ Donut Bar Las Vegas https://t.co/6qrBcdsmHC,Fri Apr 17 05:55:10 +0000 2009,418,Las Vegas,en,Dj Edoc,edoc67,None,None,469,36.16795 -115.14047,06:21.0,1.09481E+18,https://twitter.com/statuses/1094809820375396352,location2.db,36.16795,-115.14047
Mon Feb 11 04:06:17 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Repost from thank you for being awesome New York New York,Repost from @dubois69 thank you for being awesome @fr365 @nyfw #nails #nailpolish #manicure #backstagebeauty #nyfw #aw19 @ New York New York https://t.co/19L1NvypRa,Sun Sep 27 01:06:24 +0000 2009,4003,New York City,en,PRITI NYC,PritiNYC,None,None,3569,40.7142 -74.0064,06:23.0,1.09481E+18,https://twitter.com/statuses/1094809825802743808,location2.db,40.7142,-74.0064
Mon Feb 11 04:06:19 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Bath day beach day and sneak up on the couch day Bernal Heights San Francisco,Bath day beach day and sneak up on the couch day!!! #wpg #dogsofinstagram #wirehairedpointinggriffon @ Bernal Heights San Francisco https://t.co/9y7unxxvZz,Tue May 13 14:14:40 +0000 2008,415,san francisco,en,Heartfelt,hfsf,None,None,572,37.7186 -122.432,06:24.0,1.09481E+18,https://twitter.com/statuses/1094809831385395201,location2.db,37.7186,-122.432
Mon Feb 11 05:39:50 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,The Bronx Uptown and all the boroughs of the great city of New York STAND UP fo a bad woman Bartier Bardi iamcardib at the Grammy Awards they reward this,The Bronx Uptown and all the boroughs of the great city of New York STAND UP fo a bad woman Bartier Bardi iamcardib at the Grammy Awards they reward this #aotw2018 #invasionofprivacy https://t.co/cVcjBH9ENM,Sat Dec 13 09:48:34 +0000 2008,581,Chicago IL,en,Thelonius Mojo,mojoLebz,None,None,2712,42.0469 -87.6886,39:55.0,1.09483E+18,https://twitter.com/statuses/1094833366891810816,location2.db,42.0469,-87.6886
Mon Feb 11 03:40:22 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Don t tell Taco but I got to cuddle with barkandrefurry today Check out that Girl Scout scarf City National Arena,Don't tell Taco but I got to cuddle with barkandrefurry today! Check out that Girl Scout scarf! #GSSNV #GoKnightsGo @ City National Arena https://t.co/0q65VoW28f,Mon Feb 09 02:29:30 +0000 2009,495,Rack City,en,ara,CaratheExplorer,None,None,190,36.15394456 -115.32912452,40:28.0,1.0948E+18,https://twitter.com/statuses/1094803302930309120,location2.db,36.15394456,-115.3291245
Mon Feb 11 04:15:34 +0000 2019,0,0,low,0,0,0,<a href='https://www.careerarc.com' rel='nofollow'>CareerArc 2.0</a>,Standard Chartered Bank is hiring in Read about our latest job opening via the link in our bio Manager Settlement,Standard Chartered Bank is hiring in #Bangkok! Read about our latest #ProjectMgmt job opening via the link in our bio: Manager Settlement,Fri May 29 02:57:57 +0000 2009,1003,Thailand,en,Thailand Jobs,tmj_tha_jobs,None,None,487,13.7563309 100.5017651,15:39.0,1.09481E+18,https://twitter.com/statuses/1094812159249281026,location2.db,13.7563309,100.5017651
Mon Feb 11 04:15:38 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,I was sad to be informed that this breed is almost extinct Only a few thousand is said to be living the New York state This fellow right,#Otterhound . . . I was sad to be informed that this breed is almost extinct. Only a few thousand is said to be living the New York state. This fellow right https://t.co/Ch7WvsffeU,Sat Mar 14 16:13:43 +0000 2009,194,USA,en,Valen Valdez,VlnVldz,None,None,69,40.75776 -74.00011,15:44.0,1.09481E+18,https://twitter.com/statuses/1094812179260297216,location2.db,40.75776,-74.00011
Mon Feb 11 04:12:28 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Of course I m back on your radio waves at 6am tomorrow morning BUT ALSO Don t forget I m right back at it on at 9am Catch me on your tv on Good Day Chicago,Of course I'm back on your radio waves at 6am tomorrow morning BUT ALSO Don't forget I'm right back at it on @gooddaychicago at 9am! Catch me on your tv on Good Day Chicago! https://t.co/JHD8xxGzyS,Tue Apr 21 11:38:02 +0000 2009,13887,CHICAGO !!!!!,en,Kyle Santillian,RadioKingKyle,None,None,2952,41.883222 -87.632496,12:33.0,1.09481E+18,https://twitter.com/statuses/1094811380287455232,location2.db,41.883222,-87.632496
Mon Feb 11 04:12:31 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Polite quiet and effective Maki Uchida continues roasting for Cafe de Lambre after the passing of the owner almost a year ago Ichiro Sekiguchi,Polite quiet and effective Maki Uchida continues roasting for Cafe de L'ambre after the passing of the owner almost a year ago Ichiro Sekiguchi. #CafedeLambre #Ginza #Tokyo #Japan https://t.co/mMS51mmwA5,Thu Feb 26 16:51:51 +0000 2009,173,None,en,sila blume,CoffeeDramatist,None,None,158,35.6679912 139.76231774,12:37.0,1.09481E+18,https://twitter.com/statuses/1094811394451550209,location2.db,35.6679912,139.7623177
Mon Feb 11 03:43:32 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Paradise the most destructive forest fire in California history occurred in November 2018 Now the town is left to deal with aftermath of the toxic chemicals,Paradise - the most destructive forest fire in California history occurred in November 2018. Now the town is left to deal with aftermath of the toxic chemicals https://t.co/1df2zaM5qv,Wed Jul 30 19:33:35 +0000 2008,350,Austin Texas,en,Jackie Keating,JackieAtDell,None,None,292,39.7617 -121.609,43:37.0,1.0948E+18,https://twitter.com/statuses/1094804097998508034,location2.db,39.7617,-121.609
Mon Feb 11 03:43:34 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,When it s snowmaggedon and you come from a long line of engineering minds you re never too old to build an igloo with your dad Artondale Washington,When it's snowmaggedon and you come from a long line of engineering minds you're never too old to build an igloo with your dad @ Artondale Washington https://t.co/le9uKyKywu,Mon Sep 28 21:41:38 +0000 2009,780,Tacoma WA,en,Chris Teitzel,technerdteitzel,None,None,404,47.3001 -122.629,43:40.0,1.0948E+18,https://twitter.com/statuses/1094804109880832000,location2.db,47.3001,-122.629
